,opcarrier,origin,dest,origin_lat,origin_lng,dest_lat,dest_lng
705,F9,LAS,SFO,36.08036111,-115.1523333,37.61900194,-122.3748433
706,NK,DTW,FLL,42.21205889,-83.34883583,26.07258333,-80.15275
707,NK,IAH,ORD,29.98047222,-95.33972222,41.979595,-87.90446417
708,NK,FLL,ORD,26.07258333,-80.15275,41.979595,-87.90446417
709,NK,ATL,PHL,33.64044444,-84.42694444,39.87195278,-75.24114083
710,NK,LAS,SEA,36.08036111,-115.1523333,47.44898194,-122.3093131
711,OO,ORD,DFW,41.979595,-87.90446417,32.89595056,-97.0372
712,WN,BWI,SLC,39.17540167,-76.66819833,40.78838778,-111.9777731
713,OO,JFK,DCA,40.63975111,-73.77892556,38.85208333,-77.03772222
714,AA,LGA,MCO,40.77724306,-73.87260917,28.42888889,-81.31602778
715,F9,DEN,IAD,39.85840806,-104.6670019,38.94453194,-77.45580972
716,F9,DEN,MSP,39.85840806,-104.6670019,44.88054694,-93.2169225
717,NK,DTW,ATL,42.21205889,-83.34883583,33.64044444,-84.42694444
718,NK,LAS,BOS,36.08036111,-115.1523333,42.3643475,-71.00517917
719,NK,MCO,DFW,28.42888889,-81.31602778,32.89595056,-97.0372
720,NK,LAS,DFW,36.08036111,-115.1523333,32.89595056,-97.0372
721,NK,DEN,DFW,39.85840806,-104.6670019,32.89595056,-97.0372
722,NK,MCO,IAH,28.42888889,-81.31602778,29.98047222,-95.33972222
723,NK,FLL,LGA,26.07258333,-80.15275,40.77724306,-73.87260917
724,NK,DTW,LGA,42.21205889,-83.34883583,40.77724306,-73.87260917
725,NK,ATL,MSP,33.64044444,-84.42694444,44.88054694,-93.2169225
726,NK,LAS,PDX,36.08036111,-115.1523333,45.58872222,-122.5975
727,NK,DFW,PHX,32.89595056,-97.0372,33.43416667,-112.0080556
728,NK,DTW,TPA,42.21205889,-83.34883583,27.97547222,-82.53325
729,WN,ATL,DTW,33.64044444,-84.42694444,42.21205889,-83.34883583
730,B6,MCO,LGA,28.42888889,-81.31602778,40.77724306,-73.87260917
